ParticipantNumber,Condition,conditiongroup,cond2,Participate,part,ValidEmail,ValidEmailYes1No0,Age,AgeRange,Whatisyouryearofbirth,Gender,M,Race,Religion,P,EducationLevel,R,QuestionTypePrefer,AttitudetoLatePayment,U,cond1,agecat,gender,edu,ethn,rel
1,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,22,20-24,2000,0,Female,6,1,Hindu,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Probably no,,Decoy,20-24,Female,Graduate or professional degree,Black,Ohter religion
2,Control Condition,Control Condition,Control,No,No,Yes,1,29,25-29,1993,1,Male,6,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely no,,Control,25-29,Male,Graduate or professional degree,Black,No religion
3,Control Condition,Control Condition,Control,No,No,Yes,1,26,25-29,1996,0,Female,6,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Probably yes,,Control,25-29,Female,Graduate or professional degree,Black,No religion
4,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,25,25-29,1997,0,Female,6,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Probably yes,,Control,25-29,Female,Graduate or professional degree,Black,No religion
5,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,24,20-24,1998,0,Female,6,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Probably yes,,Decoy,20-24,Female,Graduate or professional degree,Black,No religion
6,Control Condition,Control Condition,Control,No,No,Yes,1,24,20-24,1998,0,Female,6,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Probably yes,,Control,20-24,Female,Graduate or professional degree,Black,No religion
7,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,23,20-24,1999,1,Male,6,2,No Religion,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,20-24,Male,Bachelor's degree,Black,No religion
8,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,26,25-29,1996,0,Female,6,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Probably yes,,Control,25-29,Female,Graduate or professional degree,Black,No religion
9,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,26,25-29,1996,1,Male,6,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely no,,Control,25-29,Male,Bachelor's degree,Black,Christian
10,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,32,30-35,1990,1,Male,5,1,Hindu,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Control,2.0,Male,Graduate or professional degree,White,Ohter religion
11,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,30,30-35,1992,1,Male,5,1,Hindu,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,2.0,Male,Graduate or professional degree,White,Ohter religion
12,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,30,30-35,1992,1,Male,5,1,Hindu,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Control,2.0,Male,Graduate or professional degree,White,Ohter religion
13,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,30,30-35,1992,1,Male,5,1,Hindu,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Control,2.0,Male,Graduate or professional degree,White,Ohter religion
14,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,No,Yes,1,32,30-35,1990,0,Female,5,1,Hindu,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,2.0,Female,Graduate or professional degree,White,Ohter religion
15,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,30,30-35,1992,1,Male,5,1,Hindu,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,2.0,Male,Graduate or professional degree,White,Ohter religion
16,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,No,Yes,1,30,30-35,1992,1,Male,5,1,Hindu,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,2.0,Male,Graduate or professional degree,White,Ohter religion
17,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,27,25-29,1995,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Bachelor's degree,White,Christian
18,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,27,25-29,1995,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Bachelor's degree,White,Christian
19,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,27,25-29,1995,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Open-ended questions (e.g. text entry),Definitely yes,,Decoy,25-29,Male,Bachelor's degree,White,Christian
20,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,27,25-29,1995,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Bachelor's degree,White,Christian
21,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,27,25-29,1995,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Bachelor's degree,White,Christian
22,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,27,25-29,1995,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Bachelor's degree,White,Christian
